SISRS_Split,Tree_Split,Node_Age_10000,Node_Age_50000
2,16,13.230965535562504,18.479793231854003
3,17,4.303390585447026,6.731162559918509
4,18,1.9085696558492842,3.0747065486319016
5,15,14.280285494976187,19.861526666047617
6,19,16.291722988621167,22.367599143973486
7,21,4.8782749391436795,9.415939267028847
9,22,1.698709246538666,2.5681810360166075
1,14,3.3003449341640483,3.2581304957527166
2,16,19.121408837936364,17.210320899277406
3,17,6.5705635725081635,6.3214271163867615
4,18,2.9390282510353174,2.8934214378993026
5,15,20.524930884549388,18.47026745162239
6,19,23.15992312625265,20.672953789594047
7,21,9.886134692421663,8.559417064113426
9,22,2.6435811054403153,2.1910540378473655
1,14,2.9123362066648752,3.0572087361737488
2,16,16.183438571219057,16.11859277639838
3,17,5.638371819379692,5.92653718125354
4,18,2.550474885829267,2.7152782229032297
5,15,17.348972537592783,17.298422965623814
6,19,19.45604333935967,19.355494451196318
7,21,8.083256698038863,8.008555147716425
9,22,1.950260468171841,2.0436292836425096
1,14,3.262159341802029,3.2294836289769826
2,16,18.167007017728967,17.10576221276214
3,17,6.300859509856103,6.290021792601383
4,18,2.843543313634779,2.8851824478221957
5,15,19.4784933072745,18.357342917494755
6,19,21.855101274985817,20.54678300986704
7,21,9.095678104575608,8.502851471959868
9,22,2.2103371873836934,2.176189467157702
1,14,3.036414949066433,3.4634963528102247
2,16,16.845669236949526,18.191131940475938
3,17,5.846961120137884,6.5909782203308325
4,18,2.6383222360933765,3.0142425903513725
5,15,18.05860651333817,19.532042332825537
6,19,20.250627853059363,21.83257460323109
7,21,8.422265514830858,9.103223361163991
9,22,2.0372271979881127,2.410554445758077
1,14,3.103799702708251,2.20958787861219
2,16,17.340043487543355,11.944168382568442
3,17,6.016467713703051,3.495070393456718
4,18,2.713514256721858,1.5232640621144284
5,15,18.588820092739795,17.24592172336256
6,19,20.84662277706545,21.28299924872127
7,21,8.669636742876033,12.580451620902856
9,22,2.099051023197468,8.111442713878606
1,14,3.0542191094595665,3.2186655518873764
2,16,16.948671332122014,16.958254516059597
3,17,5.894456563979961,6.232563871881929
4,18,2.6530231794963974,2.8539691287463143
5,15,18.170945992797456,18.201127041465266
6,19,20.37062513946005,20.367487564727185
7,21,8.464746242640846,8.429163587225759
9,22,2.040855491870701,2.154732395907395
1,14,3.1437181338649793,3.1967983844205463
2,16,17.492524712227365,16.80403206168034
3,17,6.0497250374539355,6.178754581554493
4,18,2.7242244246824505,2.8326627599358822
5,15,18.753388085976002,18.034091790107734
6,19,21.040828880130853,20.18341278597759
7,21,8.75478183476007,8.351673578213358
9,22,2.1283598925713,2.1365391998892953
1,14,3.1984940160850854,2.398215521178628
2,16,17.799281897972485,13.142936530100933
3,17,6.168247396497673,5.121260441844385
4,18,2.796371216738766,2.4022372398767082
5,15,19.086088103592214,14.103893600468695
6,19,21.400226792321565,15.953723566668565
7,21,8.900607202517463,5.166344203673209
9,22,2.1537575878984505,1.964866997718314
1,14,3.196343866904435,3.4350650801430653
2,16,17.71318419624533,18.114368372111844
3,17,6.137180297165411,6.6445879566123125
4,18,2.76105753325346,3.0349424269179295
5,15,18.991770179068467,19.438177970515216
6,19,21.298425879189416,21.75468512083276
7,21,8.857190466254735,9.005111923569217
9,22,2.1400237299699363,2.304950183230961
1,14,3.1907593354577095,3.403708197876817
2,16,18.526253257106898,19.073018524095676
3,17,6.338798040821953,7.107660430387064
4,18,2.8498917979147933,3.2741529080687464
5,15,19.899227539894525,20.474652144413582
6,19,22.45494181553003,23.038042456534903
7,21,9.499860582599378,9.789100270896078
9,22,2.4966793660652797,2.6975851128825603
1,14,3.3421714872547916,2.938326031126504
