SISRS_Split,Tree_Split,Node_Age
6,19,21.94358125302959
7,20,16.45768592244259
8,21,10.971790623844413
9,22,5.485895309362739
2,15,14.144296938336538
3,16,9.429531281514173
4,17,4.71476564357198
5,18,4.714765642280511
6,19,22.630875097837063
7,20,16.973156308698453
8,21,11.315437546658067
9,22,5.657718771159438
2,15,14.248836510685159
3,16,9.49922432855098
4,17,4.749612167410817
5,18,4.749612165988189
6,19,22.798138413209454
7,20,17.09860379362917
8,21,11.399069204072198
9,22,5.6995345996530205
2,15,14.46376607942264
3,16,9.642510710078177
4,17,4.821255357545667
5,18,4.821255356395362
6,19,23.14202572395881
7,20,17.356519279896652
8,21,11.571012859966885
9,22,5.785506428050823
2,15,14.758593970647595
3,16,9.839062640332564
4,17,4.919531321937399
5,18,4.919531321106199
6,19,23.6137503508186
7,20,17.710312753792632
8,21,11.806875174004581
9,22,5.903437585597601
2,15,13.824133865609895
3,16,9.216089228486886
4,17,4.608044618264536
5,18,4.608044616451615
6,19,22.11861417999842
7,20,16.588960614176226
8,21,11.059307086740532
9,22,5.5296535403386855
2,15,14.232838443877277
3,16,9.488558953367864
4,17,4.744279479101962
5,18,4.744279477981053
6,19,22.772541507187256
7,20,17.079406117727274
8,21,11.386270751662604
9,22,5.693135373943093
2,15,15.140225613752666
3,16,10.093483736724451
4,17,5.046741869873742
5,18,5.04674186916202
6,19,24.224360980110742
7,20,18.168270727116482
8,21,12.112180488858442
9,22,6.056090243225476
2,15,14.823539234283388
3,16,9.882359482418792
4,17,4.941179743071345
5,18,4.94117974220358
6,19,23.717662772527753
7,20,17.788247069624237
8,21,11.85883138478124
9,22,5.929415690926966
2,15,14.932031456214062
3,16,9.954687630645402
4,17,4.977343817113052
5,18,4.9773438162785055
6,19,23.891250327706018
7,20,17.918437736382813
8,21,11.945625162427561
9,22,5.972812579805968
2,15,14.589209359428658
3,16,9.72613956608793
4,17,4.863069784839411
5,18,4.86306978399282
6,19,23.342734972834698
7,20,17.50705122015869
8,21,11.671367484997063
9,22,5.835683741066234
2,15,13.818931127517185
3,16,9.212620741005601
4,17,4.606310373302428
5,18,4.60631037200428
6,19,22.110289800533725
7,20,16.58271733573782
8,21,11.055144898031479
9,22,5.527572446829076
2,15,13.998171004785078
3,16,9.332113996211355
4,17,4.6660569999234625
5,18,4.666056999047278
6,19,22.397073605359985
7,20,16.797805194348456
8,21,11.198536801260474
9,22,5.59926839913971
