78	BalMys,BubBub,CapAeg,CapHir,GirTip,HipAmp,OdoVir,OkaJoh,OviAri...BisBis,BosTau,ElaDav	5316
79	BalMys,BisBis,BosTau,CapAeg,CapHir,ElaDav,HipAmp,OdoVir,OkaJoh,OviAri...BubBub,GirTip	5031
80	BalMys,BisBis,BosTau,BubBub,GirTip,HipAmp,OkaJoh,OviAri...CapAeg,CapHir,ElaDav,OdoVir	4923
81	BalMys,BubBub,CapAeg,CapHir,ElaDav,GirTip,HipAmp,OdoVir,OviAri...BisBis,BosTau,OkaJoh	4807
82	BalMys,BisBis,BosTau,BubBub,CapAeg,CapHir,GirTip,HipAmp,OkaJoh...ElaDav,OdoVir,OviAri	4649
83	BalMys,BisBis,BubBub,CapAeg,CapHir,ElaDav,GirTip,OdoVir,OkaJoh,OviAri...BosTau,HipAmp	4595
84	BalMys,BisBis,CapAeg,CapHir,ElaDav,GirTip,HipAmp,OdoVir,OkaJoh,OviAri...BosTau,BubBub	4569
85	BalMys,BosTau,CapAeg,CapHir,ElaDav,GirTip,HipAmp,OdoVir,OkaJoh,OviAri...BisBis,BubBub	4456
86	BalMys,BisBis,BosTau,BubBub,ElaDav,GirTip,HipAmp,OkaJoh,OviAri...CapAeg,CapHir,OdoVir	4356
87	BalMys,BubBub,CapAeg,CapHir,ElaDav,HipAmp,OdoVir,OkaJoh,OviAri...BisBis,BosTau,GirTip	4315
88	BalMys,BisBis,BosTau,BubBub,ElaDav,HipAmp,OdoVir,OviAri...CapAeg,CapHir,GirTip,OkaJoh	4245
89	BalMys,BisBis...BosTau,BubBub,CapAeg,CapHir,ElaDav,GirTip,HipAmp,OdoVir,OkaJoh,OviAri	4203
90	BalMys,BisBis,BosTau,BubBub,CapAeg,CapHir,ElaDav,HipAmp,OdoVir...GirTip,OkaJoh,OviAri	4127
91	BalMys,BisBis,BosTau,BubBub,CapAeg,CapHir,ElaDav,GirTip,HipAmp,OkaJoh...OdoVir,OviAri	4037
92	BalMys,BisBis,BosTau,BubBub,GirTip,HipAmp,OdoVir,OkaJoh,OviAri...CapAeg,CapHir,ElaDav	3954
93	BalMys,BosTau...BisBis,BubBub,CapAeg,CapHir,ElaDav,GirTip,HipAmp,OdoVir,OkaJoh,OviAri	3658
94	BalMys,BisBis,BosTau,BubBub,CapAeg,CapHir,GirTip,HipAmp,OdoVir,OkaJoh...ElaDav,OviAri	3645
95	BalMys,BisBis,BosTau,BubBub,ElaDav,GirTip,HipAmp,OdoVir,OviAri...CapAeg,CapHir,OkaJoh	3642
96	BalMys,BisBis,BosTau,BubBub,CapAeg,CapHir,ElaDav,GirTip,HipAmp,OdoVir...OkaJoh,OviAri	3407
97	BalMys,BisBis,BosTau,BubBub,ElaDav,HipAmp,OdoVir,OkaJoh,OviAri...CapAeg,CapHir,GirTip	3217
98	BalMys,BisBis,BosTau,ElaDav,GirTip,HipAmp,OdoVir,OkaJoh,OviAri...BubBub,CapAeg,CapHir	3184
99	BalMys,BisBis,BosTau,CapAeg,CapHir,ElaDav,GirTip,HipAmp,OdoVir,OkaJoh...BubBub,OviAri	3071
100	BalMys,BisBis,BosTau,BubBub,CapAeg,CapHir,ElaDav,HipAmp,OdoVir,OkaJoh...GirTip,OviAri	3012
101	BalMys,BubBub,GirTip,HipAmp,OkaJoh...BisBis,BosTau,CapAeg,CapHir,ElaDav,OdoVir,OviAri	2892
102	BalMys,BubBub,ElaDav,GirTip,HipAmp,OdoVir,OkaJoh,OviAri...BisBis,BosTau,CapAeg,CapHir	2849
103	BalMys,BubBub,CapAeg,CapHir,ElaDav,GirTip,HipAmp,OdoVir,OkaJoh...BisBis,BosTau,OviAri	2696
104	BalMys,BisBis,BosTau,GirTip,HipAmp,OkaJoh...BubBub,CapAeg,CapHir,ElaDav,OdoVir,OviAri	2610
105	BalMys,BosTau,BubBub,ElaDav,GirTip,HipAmp,OdoVir,OkaJoh...BisBis,CapAeg,CapHir,OviAri	2550
106	BalMys,BisBis,BubBub,ElaDav,GirTip,HipAmp,OdoVir,OkaJoh...BosTau,CapAeg,CapHir,OviAri	2305
107	BalMys,BubBub,CapAeg,CapHir,HipAmp,OviAri...BisBis,BosTau,ElaDav,GirTip,OdoVir,OkaJoh	2202
108	BalMys,BisBis,BosTau,CapAeg,CapHir,HipAmp,OviAri...BubBub,ElaDav,GirTip,OdoVir,OkaJoh	2158
109	BalMys,CapAeg,CapHir,HipAmp,OdoVir,OviAri...BisBis,BosTau,BubBub,ElaDav,GirTip,OkaJoh	2094
110	BalMys,BosTau,BubBub,CapAeg,CapHir,GirTip,HipAmp,OkaJoh,OviAri...BisBis,ElaDav,OdoVir	2047
111	BalMys,BisBis,BosTau,BubBub,GirTip,OkaJoh...CapAeg,CapHir,ElaDav,HipAmp,OdoVir,OviAri	2030
112	BalMys,BisBis,BosTau,BubBub,ElaDav,OdoVir...CapAeg,CapHir,GirTip,HipAmp,OkaJoh,OviAri	1996
113	BalMys,BosTau,BubBub,CapAeg,CapHir,ElaDav,HipAmp,OdoVir,OviAri...BisBis,GirTip,OkaJoh	1961
